Condition,Oxygen,Replicate,mu_per_hr,A,t0_h,R2
Ac,Aerobic,1,0.1968117103311062,0.5710328907359001,3.791634808610329,0.9791929337344186
Ac,Aerobic,2,0.12566601713460265,0.5978695635170638,7.520140789795897,0.965822896677579
Ac,Aerobic,3,0.14052422606961235,0.5902312617437151,9.222555584913215,0.9673507939924251
Ac,Anaerobic,1,0.14344392614925877,1.4263251896607472,79.09415566638548,0.8558992529144129
Ac,Anaerobic,2,0.11984852654139057,1.436897012944529,79.57361306196242,0.8856287218472787
Ac,Anaerobic,3,0.05855462564435453,1.5026394445717333,70.40590520976453,0.8628557393251829
Ac+CA,Aerobic,1,0.09263379121689917,1.2445486316484269,20.58216243308171,0.9840538958927428
Ac+CA,Aerobic,2,0.09443585857418092,1.1978012063464185,22.549035586681256,0.9865807923647414
Ac+CA,Aerobic,3,0.08900988676036434,1.2324218923980554,24.247113973970233,0.9876400210793045
Ac+CA,Anaerobic,1,0.046603298454530075,3.339812673900847,83.10979568587987,0.996556160751181
Ac+CA,Anaerobic,2,0.06310383263604588,3.18965381627415,76.37415088395122,0.9871510421321573
Ac+CA,Anaerobic,3,0.05754334300099262,3.225645232818981,78.66424100126767,0.9747882237480442
Ac+KL,Aerobic,1,0.10353228809630677,0.8635962804159178,11.882486237014978,0.9614714626138884
Ac+KL,Aerobic,2,0.13564725234249145,0.8058007951090926,9.366224670759976,0.9493406620997854
Ac+KL,Aerobic,3,0.12978130216324513,0.8214909836932035,10.209429899761469,0.9545704816077654
Ac+KL,Anaerobic,1,0.023217586385046972,1.5414936662260192,101.85831260650231,0.971661319114414
Ac+KL,Anaerobic,2,0.02548459481767135,1.4464164724070596,87.07478571162568,0.9872193276110789
Ac+KL,Anaerobic,3,0.027036881651369162,1.400211059335495,86.91755153504202,0.986394935604095
Ac+SA,Aerobic,1,0.2080787084644322,0.6984095371556117,3.673330178606063,0.982767624084086
Ac+SA,Aerobic,2,0.1761101733667024,0.628497240941984,4.495257428154427,0.9829233620777585
Ac+SA,Aerobic,3,0.18969247653730487,0.6829667693083654,4.491354763488895,0.9860346372412385
Ac+SA,Anaerobic,1,0.022279936835599107,1.7796374265129853,103.01095373096439,0.7510828638496536
Ac+SA,Anaerobic,2,0.017859350149207576,1.91989108089714,112.70892234990403,0.7908773918739348
Ac+SA,Anaerobic,3,0.017053205823710425,1.9435875723797127,117.92046778470812,0.8199527732683173
Ac+SF,Aerobic,1,0.0969269057144169,1.2478519542081954,18.009289825672145,0.989188361869274
Ac+SF,Aerobic,2,0.08951507892022108,1.0834399380611472,18.74042386289507,0.9905228756261754
Ac+SF,Aerobic,3,0.08456736803148016,1.1387326403441296,17.371691834386645,0.9875623327113248
Ac+SF,Anaerobic,1,0.07935834645273132,1.2499060526403085,25.81981516470365,0.9275171517419487
Ac+SF,Anaerobic,2,0.0827210752261496,1.1815774732599726,25.80392171474168,0.9559610972123715
Ac+SF,Anaerobic,3,0.08556809729701058,1.2075068501474748,27.41165848016168,0.9368039745574336
Ac+pCA,Aerobic,1,0.24046768534757085,0.7020663822314333,3.8705732550837597,0.9907216145107353
Ac+pCA,Aerobic,2,0.21897927267984074,0.661256658547173,3.907644948073669,0.9897164305779907
Ac+pCA,Aerobic,3,0.21190045612233022,0.6591722760954728,3.961954652583002,0.9813465397539839
Ac+pCA,Anaerobic,1,0.030042077591477125,2.0718207361668406,142.02838480727743,0.904364674921925
Ac+pCA,Anaerobic,2,0.025850785215048157,2.1690736803896793,156.28350920094456,0.9600653195602722
Ac+pCA,Anaerobic,3,0.018924672183497845,2.2616626460422644,187.20533037879005,0.9744828860886218
CA,Anaerobic,1,0.0461244269157781,3.31220920077001,84.43764671117027,0.9895970003032786
CA,Anaerobic,2,0.0542970376403114,3.218642848832097,79.09630036559517,0.9782911152840663
CA,Anaerobic,3,0.04954164588445795,3.247565002925661,81.1910408850319,0.9576567774370561
SF,Aerobic,1,0.11674151198598913,0.5891792378905237,3.76080058442264,0.932563873799644
SF,Aerobic,2,0.1657885870849169,0.9041919845874945,9.99106440093263,0.9849960497744276
SF,Aerobic,3,0.14470408205369623,0.7058170793012989,4.154407349771956,0.9540967139638638
pC,Aerobic,1,0.11524557714896465,1.0867631992871059,8.145441937926645,0.9897272992743649
pC,Aerobic,2,0.1326082145221483,0.9671907049595664,8.337962124625014,0.9917725367136091
pC,Aerobic,3,0.1297798238029635,1.056932509273838,7.539380448749057,0.9916946104220495
pC,Anaerobic,1,0.08597743491898774,2.168373338463289,43.323475111131756,0.9378741403763904
pC,Anaerobic,2,0.06954307115281069,2.373709610271124,51.15821810316275,0.970922279755788
pC,Anaerobic,3,0.09418105446556313,2.1228946357571368,50.300131402812134,0.9511859895278848
